perspect0,perspect1,class,confidence
2,2,1,"[2.6021964441141114, 97.39780355588601]"
2,2,1,"[2.01384100912934, 97.9861589908707]"
2,2,1,"[25.096344042692078, 74.90365595730819]"
1,1,1,"[57.19271727792977, 42.80728272207014]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,2,1,"[25.123311595612062, 74.87668840438803]"
1,1,1,"[69.3496483079133, 30.65035169208658]"
2,1,1,"[51.41793726326457, 48.58206273673567]"
2,1,1,"[51.414923658505174, 48.5850763414949]"
2,1,1,"[51.39205954230318, 48.60794045769677]"
2,1,1,"[51.39174155827468, 48.60825844172542]"
2,1,1,"[51.41793726326457, 48.58206273673567]"
2,1,1,"[51.414923658505174, 48.5850763414949]"
2,2,1,"[25.15218601098073, 74.84781398901943]"
1,1,1,"[74.3789407516276, 25.621059248372298]"
2,2,1,"[25.126090304287082, 74.87390969571263]"
2,1,1,"[54.41754681989006, 45.58245318010973]"
2,2,1,"[25.187701580858292, 74.81229841914184]"
2,1,1,"[51.41209628575045, 48.587903714249535]"
2,1,1,"[51.404901406033815, 48.59509859396625]"
2,1,1,"[51.39091806509057, 48.60908193490929]"
2,1,1,"[51.43298807813734, 48.567011921862566]"
2,1,1,"[51.40548119885683, 48.59451880114304]"
2,2,1,"[25.095917077588876, 74.90408292241096]"
2,1,1,"[56.75846517663531, 43.241534823364915]"
2,1,1,"[51.44804270695544, 48.55195729304455]"
2,2,2,"[1.9989770854458921, 98.00102291455406]"
2,2,2,"[3.8148754030199754, 96.18512459698007]"
2,2,2,"[5.973456333451822, 94.02654366654826]"
2,1,1,"[51.38729232774549, 48.61270767225454]"
2,2,1,"[25.13218892370117, 74.8678110762988]"
2,2,1,"[25.12899253664561, 74.87100746335433]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
2,1,1,"[51.89911610678188, 48.100883893218224]"
2,1,1,"[51.44119192971369, 48.55880807028644]"
2,1,1,"[51.41985644461206, 48.58014355538823]"
2,1,1,"[51.41863551840914, 48.58136448159082]"
2,1,1,"[51.74759967615477, 48.252400323845215]"
1,1,1,"[100.0, 6.269242096670658e-23]"
2,1,1,"[51.45058267359859, 48.549417326401425]"
