avg_byte,var_byte,protocol,pack_exc,byte_exc,pack_push,percent_push,src_port,dst_port,std_byte,class
337.666666667,5.55555555556,DHCP,3,1013,0,0,68,67,2.35702260396,NOT
76,0,NTP,1,76,0,0,123,123,0,NOT
86.9285714286,285.209183673,UDP,14,1217,0,0,7600,7600,16.8881373654,NOT
1019.91111111,57575.9920988,UDP,90,91792,0,0,7600,7600,239.949978326,NOT
131,0,UDP,1,131,0,0,13827,31037,0,NOT
326,0,UDP,2,652,0,0,31037,13827,0,NOT
84.6538461538,169.610946746,UDP,26,2201,0,0,7600,7600,13.0234767534,NOT
1013.82716049,48702.3404969,UDP,162,164240,0,0,7600,7600,220.686067745,NOT
110.5,1260.25,UDP,2,221,0,0,16224,7600,35.5,NOT
111,1225,UDP,4,444,0,0,7600,16224,35,NOT
75,0,UDP,1,75,0,0,56410,7600,0,NOT
76,0,UDP,2,152,0,0,7600,56410,0,NOT
110.5,1260.25,UDP,2,221,0,0,16224,7600,35.5,NOT
111,1225,UDP,4,444,0,0,7600,16224,35,NOT
83.2571428571,137.219591837,UDP,35,2914,0,0,7600,7600,11.7140766532,NOT
1056.79245283,25446.0889996,UDP,212,224040,0,0,7600,7600,159.518303024,NOT
88.1333333333,245.982222222,UDP,30,2644,0,0,7600,7600,15.6838203963,NOT
991.333333333,81694.2222222,UDP,21,20818,0,0,7600,7600,285.822011438,NOT
75,0,UDP,2,150,0,0,7600,7600,0,NOT
110.5,1260.25,UDP,2,221,0,0,15362,7600,35.5,NOT
111,1225,UDP,4,444,0,0,7600,15362,35,NOT
75,0,UDP,2,150,0,0,7600,22821,0,NOT
122.333333333,1120.22222222,UDP,3,367,0,0,20050,7600,33.4697209762,NOT
99.3333333333,1088.88888889,UDP,6,596,0,0,7600,20050,32.9983164554,NOT
88.9166666667,304.409722222,UDP,12,1067,0,0,7600,7600,17.4473414084,NOT
1015.33333333,61374.2222222,UDP,84,85288,0,0,7600,7600,247.738213084,NOT
129,0,UDP,1,129,0,0,50868,29676,0,NOT
48,0,TCP,6,288,0,0,1085,3128,0,BOT
48,0,TCP,4,192,0,0,1564,6667,0,BOT
48,0,TCP,6,288,0,0,4678,6667,0,BOT
74,0,UDP,1,74,0,0,15610,8000,0,NOT
110.5,1260.25,UDP,2,221,0,0,7600,7600,35.5,NOT
111,1225,UDP,4,444,0,0,7600,7600,35,NOT
131,0,UDP,1,131,0,0,55000,31037,0,NOT
326,0,UDP,2,652,0,0,31037,55000,0,NOT
126,0,UDP,4,504,0,0,29676,27482,0,NOT
110.5,1260.25,UDP,2,221,0,0,24452,7600,35.5,NOT
111,1225,UDP,4,444,0,0,7600,24452,35,NOT
91.3164556962,145.380868451,UDP,79,7214,0,0,40302,7600,12.057398909,NOT
1077.1820331,6515.57679303,UDP,846,911296,0,0,7600,40302,80.719122846,NOT
131,0,UDP,1,131,0,0,56504,31037,0,NOT
326,0,UDP,2,652,0,0,31037,56504,0,NOT
92.5982142857,174.954639668,UDP,224,20742,0,0,7600,7600,13.2270419848,NOT
1078.58164852,4474.14380008,UDP,643,693528,0,0,7600,7600,66.8890409565,NOT
86.4,105.351111111,UDP,90,7776,0,0,7600,7600,10.2640689354,NOT
1067.79775281,15331.5995455,UDP,178,190068,0,0,7600,7600,123.820836476,NOT
126,0,UDP,1,126,0,0,57106,29676,0,NOT
330,0,UDP,2,660,0,0,29676,57106,0,NOT
110.5,1260.25,UDP,2,221,0,0,7600,7600,35.5,NOT
111,1225,UDP,4,444,0,0,7600,7600,35,NOT
84.2424242424,138.971533517,UDP,33,2780,0,0,7600,7600,11.7886188129,NOT
1057.2962963,24988.3196159,UDP,216,228376,0,0,7600,7600,158.076942075,NOT
48,0,TCP,3,144,0,0,17096,80,0,NOT
48,0,TCP,3,144,0,0,17364,80,0,NOT
48,0,TCP,4,192,0,0,1390,6667,0,BOT
48,0,TCP,2,96,0,0,7600,5765,0,BOT
48,0,TCP,6,288,0,0,4902,6667,0,BOT
48,0,TCP,6,288,0,0,4041,6667,0,BOT
131,0,UDP,1,131,0,0,10470,32234,0,NOT
326,0,UDP,2,652,0,0,32234,10470,0,NOT
131,0,UDP,1,131,0,0,46908,31037,0,NOT
326,0,UDP,2,652,0,0,31037,46908,0,NOT
131,0,UDP,1,131,0,0,16763,32234,0,NOT
326,0,UDP,2,652,0,0,32234,16763,0,NOT
131,0,UDP,1,131,0,0,10155,31037,0,NOT
126,0,UDP,2,252,0,0,28082,29676,0,NOT
