,avg_byte,var_byte,protocol,pack_exc,byte_exc,class
0,337.666666667,5.55555555556,DHCP,3,1013,NOT
1,76.0,0.0,NTP,1,76,NOT
2,86.92857142860001,285.209183673,UDP,14,1217,NOT
3,1019.91111111,57575.9920988,UDP,90,91792,NOT
4,131.0,0.0,UDP,1,131,NOT
5,326.0,0.0,UDP,2,652,NOT
6,84.6538461538,169.610946746,UDP,26,2201,NOT
7,1013.82716049,48702.340496900004,UDP,162,164240,NOT
8,110.5,1260.25,UDP,2,221,NOT
9,111.0,1225.0,UDP,4,444,NOT
10,75.0,0.0,UDP,1,75,NOT
11,76.0,0.0,UDP,2,152,NOT
12,110.5,1260.25,UDP,2,221,NOT
13,111.0,1225.0,UDP,4,444,NOT
14,83.2571428571,137.219591837,UDP,35,2914,NOT
15,1056.79245283,25446.0889996,UDP,212,224040,NOT
16,88.1333333333,245.98222222200002,UDP,30,2644,NOT
17,991.333333333,81694.2222222,UDP,21,20818,NOT
18,75.0,0.0,UDP,2,150,NOT
19,110.5,1260.25,UDP,2,221,NOT
20,111.0,1225.0,UDP,4,444,NOT
21,75.0,0.0,UDP,2,150,NOT
22,122.333333333,1120.22222222,UDP,3,367,NOT
23,99.3333333333,1088.88888889,UDP,6,596,NOT
24,88.9166666667,304.409722222,UDP,12,1067,NOT
25,1015.33333333,61374.2222222,UDP,84,85288,NOT
26,129.0,0.0,UDP,1,129,NOT
27,48.0,0.0,TCP,6,288,BOT
28,48.0,0.0,TCP,4,192,BOT
29,48.0,0.0,TCP,6,288,BOT
30,74.0,0.0,UDP,1,74,NOT
31,110.5,1260.25,UDP,2,221,NOT
32,111.0,1225.0,UDP,4,444,NOT
33,131.0,0.0,UDP,1,131,NOT
34,326.0,0.0,UDP,2,652,NOT
35,126.0,0.0,UDP,4,504,NOT
36,110.5,1260.25,UDP,2,221,NOT
37,111.0,1225.0,UDP,4,444,NOT
38,91.31645569620001,145.380868451,UDP,79,7214,NOT
39,1077.1820331,6515.57679303,UDP,846,911296,NOT
40,131.0,0.0,UDP,1,131,NOT
41,326.0,0.0,UDP,2,652,NOT
42,92.5982142857,174.954639668,UDP,224,20742,NOT
43,1078.58164852,4474.14380008,UDP,643,693528,NOT
44,86.4,105.35111111100001,UDP,90,7776,NOT
45,1067.79775281,15331.599545500001,UDP,178,190068,NOT
46,126.0,0.0,UDP,1,126,NOT
47,330.0,0.0,UDP,2,660,NOT
48,110.5,1260.25,UDP,2,221,NOT
49,111.0,1225.0,UDP,4,444,NOT
50,84.24242424239999,138.971533517,UDP,33,2780,NOT
51,1057.2962963,24988.3196159,UDP,216,228376,NOT
52,48.0,0.0,TCP,3,144,NOT
53,48.0,0.0,TCP,3,144,NOT
54,48.0,0.0,TCP,4,192,BOT
55,48.0,0.0,TCP,2,96,BOT
56,48.0,0.0,TCP,6,288,BOT
57,48.0,0.0,TCP,6,288,BOT
58,131.0,0.0,UDP,1,131,NOT
59,326.0,0.0,UDP,2,652,NOT
60,131.0,0.0,UDP,1,131,NOT
61,326.0,0.0,UDP,2,652,NOT
62,131.0,0.0,UDP,1,131,NOT
63,326.0,0.0,UDP,2,652,NOT
64,131.0,0.0,UDP,1,131,NOT
65,126.0,0.0,UDP,2,252,NOT
66,330.0,0.0,UDP,4,1320,NOT
67,48.0,0.0,TCP,6,288,BOT
68,108.0,324.0,UDP,4,432,NOT
69,199.5,11990.25,UDP,2,399,NOT
70,131.0,0.0,UDP,1,131,NOT
71,167.0,8643.0,UDP,8,1336,NOT
72,108.0,324.0,UDP,8,864,NOT
73,319.0,0.0,UDP,2,638,NOT
74,131.0,0.0,UDP,1,131,NOT
75,326.0,0.0,UDP,2,652,NOT
76,131.0,0.0,UDP,1,131,NOT
77,326.0,0.0,UDP,2,652,NOT
78,131.0,0.0,UDP,1,131,NOT
79,326.0,0.0,UDP,2,652,NOT
80,131.0,0.0,UDP,1,131,NOT
81,326.0,0.0,UDP,2,652,NOT
82,126.0,0.0,UDP,4,504,NOT
83,319.0,0.0,UDP,1,319,NOT
84,126.0,0.0,UDP,2,252,NOT
85,300.0,0.0,UDP,1,300,NOT
86,90.0,0.0,UDP,4,360,NOT
87,100.0,0.0,UDP,2,200,NOT
88,183.33333333299998,9362.88888889,UDP,3,550,NOT
89,180.66666666700002,10776.888888899999,UDP,6,1084,NOT
90,108.0,324.0,UDP,4,432,NOT
91,199.5,11990.25,UDP,2,399,NOT
92,126.0,0.0,UDP,2,252,NOT
93,319.0,0.0,UDP,1,319,NOT
94,77.0,0.0,DNS,2,154,BOT
95,93.0,0.0,DNS,1,93,BOT
96,131.0,0.0,UDP,1,131,NOT
97,326.0,0.0,UDP,2,652,NOT
98,129.0,0.0,UDP,1,129,NOT
99,131.0,0.0,UDP,1,131,NOT
100,326.0,0.0,UDP,2,652,NOT
101,131.0,0.0,UDP,1,131,NOT
102,326.0,0.0,UDP,2,652,NOT
103,131.0,0.0,UDP,1,131,NOT
104,326.0,0.0,UDP,2,652,NOT
105,115.5,240.25,UDP,2,231,NOT
106,168.66666666700002,12376.888888899999,UDP,6,1012,NOT
107,54.285714285699996,1014.20408163,TCP,7,380,NOT
108,810.857142857,464483.265306,TCP,7,5676,NOT
109,54.285714285699996,1014.20408163,TCP,7,380,NOT
110,810.857142857,464483.265306,TCP,7,5676,NOT
111,54.285714285699996,1014.20408163,TCP,7,380,NOT
112,810.857142857,464483.265306,TCP,7,5676,NOT
113,131.0,0.0,UDP,1,131,NOT
114,326.0,0.0,UDP,2,652,NOT
115,134.0,0.0,UDP,2,268,NOT
116,133.0,64.0,UDP,4,532,NOT
117,131.0,0.0,UDP,1,131,NOT
118,326.0,0.0,UDP,2,652,NOT
119,131.0,0.0,UDP,1,131,NOT
120,326.0,0.0,UDP,2,652,NOT
121,131.0,0.0,UDP,1,131,NOT
122,326.0,0.0,UDP,2,652,NOT
123,57.0,1.0,DNS,4,228,BOT
124,220.5,8930.25,DNS,2,441,BOT
125,58.0,0.0,DNS,2,116,BOT
126,152.0,0.0,DNS,1,152,BOT
127,58.0,0.0,DNS,2,116,BOT
128,214.0,0.0,DNS,1,214,BOT
129,129.0,0.0,UDP,1,129,NOT
130,126.0,0.0,UDP,8,1008,NOT
131,131.0,0.0,UDP,1,131,NOT
132,326.0,0.0,UDP,2,652,NOT
133,131.0,0.0,UDP,1,131,NOT
134,326.0,0.0,UDP,2,652,NOT
135,131.0,0.0,UDP,1,131,NOT
136,326.0,0.0,UDP,2,652,NOT
137,131.0,0.0,UDP,1,131,NOT
138,326.0,0.0,UDP,2,652,NOT
139,131.0,0.0,UDP,1,131,NOT
140,326.0,0.0,UDP,2,652,NOT
141,131.0,0.0,UDP,1,131,NOT
142,326.0,0.0,UDP,2,652,NOT
143,131.0,0.0,UDP,1,131,NOT
144,326.0,0.0,UDP,2,652,NOT
145,131.0,0.0,UDP,1,131,NOT
146,326.0,0.0,UDP,2,652,NOT
147,131.0,0.0,UDP,1,131,NOT
148,326.0,0.0,UDP,2,652,NOT
149,126.0,0.0,UDP,2,252,NOT
150,309.0,0.0,UDP,1,309,NOT
151,131.0,0.0,UDP,1,131,NOT
152,326.0,0.0,UDP,2,652,NOT
153,131.0,0.0,UDP,1,131,NOT
154,326.0,0.0,UDP,2,652,NOT
155,60.0,0.0,DNS,2,120,BOT
156,76.0,0.0,DNS,1,76,BOT
157,93.0,0.0,UDP,1,93,NOT
158,129.0,0.0,UDP,1,129,NOT
159,131.0,0.0,UDP,1,131,NOT
160,326.0,0.0,UDP,2,652,NOT
161,131.0,0.0,UDP,1,131,NOT
162,326.0,0.0,UDP,2,652,NOT
163,131.0,0.0,UDP,1,131,NOT
164,326.0,0.0,UDP,2,652,NOT
165,149.5,240.25,UDP,2,299,NOT
166,326.0,0.0,UDP,2,652,NOT
167,129.0,0.0,UDP,2,258,NOT
168,131.0,0.0,UDP,1,131,NOT
169,326.0,0.0,UDP,2,652,NOT
170,108.0,324.0,UDP,8,864,NOT
171,158.0,576.0,UDP,4,632,NOT
172,255.0,35212.0,UDP,8,2040,NOT
173,158.0,576.0,UDP,2,316,NOT
174,297.0,48400.0,UDP,4,1188,NOT
175,158.0,576.0,UDP,4,632,NOT
176,297.0,48400.0,UDP,8,2376,NOT
177,158.0,576.0,UDP,4,632,NOT
178,247.0,33900.0,UDP,8,1976,NOT
179,134.0,0.0,UDP,1,134,NOT
180,245.0,0.0,UDP,2,490,NOT
181,90.0,0.0,UDP,2,180,NOT
182,100.0,0.0,UDP,1,100,NOT
183,158.0,576.0,UDP,4,632,NOT
184,281.0,42128.0,UDP,8,2248,NOT
185,131.0,0.0,UDP,1,131,NOT
186,326.0,0.0,UDP,2,652,NOT
187,158.0,576.0,UDP,4,632,NOT
188,147.0,9132.0,UDP,8,1176,NOT
189,158.0,576.0,UDP,4,632,NOT
190,147.0,9132.0,UDP,8,1176,NOT
191,90.0,0.0,UDP,4,360,NOT
192,100.0,0.0,UDP,1,100,NOT
193,158.0,576.0,UDP,2,316,NOT
194,173.0,9216.0,UDP,4,692,NOT
195,131.0,0.0,UDP,1,131,NOT
196,326.0,0.0,UDP,2,652,NOT
197,188.5,8635.25,UDP,6,1131,NOT
198,220.0,11380.0,UDP,12,2640,NOT
199,131.0,0.0,UDP,1,131,NOT
200,326.0,0.0,UDP,2,652,NOT
201,131.0,0.0,UDP,1,131,NOT
202,326.0,0.0,UDP,2,652,NOT
203,131.0,0.0,UDP,1,131,NOT
204,326.0,0.0,UDP,2,652,NOT
205,131.0,0.0,UDP,1,131,NOT
206,326.0,0.0,UDP,2,652,NOT
207,55.0,0.0,DNS,4,220,BOT
208,170.0,0.0,DNS,1,170,BOT
209,131.0,0.0,UDP,1,131,NOT
210,326.0,0.0,UDP,2,652,NOT
211,131.0,0.0,UDP,1,131,NOT
212,326.0,0.0,UDP,2,652,NOT
213,131.0,0.0,UDP,1,131,NOT
214,326.0,0.0,UDP,2,652,NOT
215,48.0,0.0,TCP,6,288,BOT
216,131.0,0.0,UDP,1,131,NOT
217,326.0,0.0,UDP,2,652,NOT
218,48.0,0.0,TCP,6,288,BOT
219,48.0,0.0,TCP,6,288,BOT
220,40.0,0.0,TCP,3,120,BOT
221,48.0,0.0,TCP,4,192,BOT
222,48.0,0.0,TCP,4,192,BOT
223,48.0,0.0,TCP,6,288,BOT
224,48.0,0.0,TCP,2,96,BOT
225,48.0,0.0,TCP,4,192,BOT
226,129.0,0.0,UDP,1,129,NOT
227,48.0,0.0,TCP,4,192,BOT
228,126.0,0.0,UDP,2,252,NOT
229,309.0,0.0,UDP,1,309,NOT
230,126.0,0.0,UDP,4,504,NOT
231,131.0,0.0,UDP,1,131,NOT
232,326.0,0.0,UDP,2,652,NOT
233,131.0,0.0,UDP,1,131,NOT
234,326.0,0.0,UDP,2,652,NOT
235,131.0,0.0,UDP,1,131,NOT
236,326.0,0.0,UDP,2,652,NOT
237,131.0,0.0,UDP,1,131,NOT
238,326.0,0.0,UDP,2,652,NOT
239,131.0,0.0,UDP,2,262,NOT
240,326.0,0.0,UDP,4,1304,NOT
241,131.0,0.0,UDP,1,131,NOT
242,326.0,0.0,UDP,2,652,NOT
243,62.0,0.0,DNS,2,124,BOT
244,199.0,0.0,DNS,1,199,BOT
245,53.0,0.0,DNS,2,106,BOT
246,149.0,0.0,DNS,1,149,BOT
247,62.0,0.0,DNS,6,372,BOT
248,199.0,0.0,DNS,3,597,BOT
249,131.0,0.0,UDP,1,131,NOT
250,326.0,0.0,UDP,2,652,NOT
251,131.0,0.0,UDP,2,262,NOT
252,326.0,0.0,UDP,4,1304,NOT
253,131.0,0.0,UDP,1,131,NOT
254,326.0,0.0,UDP,2,652,NOT
255,131.0,0.0,UDP,1,131,NOT
256,326.0,0.0,UDP,2,652,NOT
257,131.0,0.0,UDP,1,131,NOT
258,326.0,0.0,UDP,2,652,NOT
259,126.0,0.0,UDP,1,126,NOT
260,330.0,0.0,UDP,2,660,NOT
261,131.0,0.0,UDP,1,131,NOT
262,326.0,0.0,UDP,2,652,NOT
263,131.0,0.0,UDP,1,131,NOT
264,326.0,0.0,UDP,2,652,NOT
265,129.0,0.0,UDP,1,129,NOT
266,126.0,0.0,UDP,4,504,NOT
267,319.0,0.0,UDP,1,319,NOT
268,57.8,2.16,DNS,10,578,BOT
269,165.8,2.16,DNS,5,829,BOT
270,65.0,0.0,DNS,2,130,BOT
271,152.0,0.0,DNS,1,152,BOT
272,59.0,0.0,DNS,2,118,BOT
273,243.0,0.0,DNS,1,243,BOT
274,56.0,0.0,DNS,6,336,BOT
275,115.333333333,1760.22222222,DNS,3,346,BOT
276,55.0,0.0,DNS,2,110,BOT
277,171.0,0.0,DNS,1,171,BOT
278,126.0,0.0,UDP,2,252,NOT
279,319.0,0.0,UDP,1,319,NOT
280,59.0,0.0,DNS,2,118,BOT
281,112.0,0.0,DNS,1,112,BOT
282,62.0,0.0,DNS,6,372,BOT
283,90.3333333333,304.222222222,DNS,3,271,BOT
284,131.0,0.0,UDP,1,131,NOT
285,326.0,0.0,UDP,2,652,NOT
286,131.0,0.0,UDP,1,131,NOT
287,326.0,0.0,UDP,2,652,NOT
288,131.0,0.0,UDP,1,131,NOT
289,326.0,0.0,UDP,2,652,NOT
290,131.0,0.0,UDP,1,131,NOT
291,326.0,0.0,UDP,2,652,NOT
292,126.0,0.0,UDP,4,504,NOT
293,114.0,288.0,UDP,6,684,NOT
294,319.0,0.0,UDP,1,319,NOT
295,90.0,0.0,UDP,8,720,NOT
296,90.0,0.0,UDP,2,180,NOT
297,131.0,0.0,UDP,1,131,NOT
298,326.0,0.0,UDP,2,652,NOT
299,126.0,0.0,UDP,4,504,NOT
300,131.0,0.0,UDP,1,131,NOT
301,64.0,0.0,DNS,2,128,BOT
302,153.0,0.0,DNS,1,153,BOT
303,131.0,0.0,UDP,1,131,NOT
304,326.0,0.0,UDP,2,652,NOT
305,57.0,0.0,DNS,4,228,BOT
306,92.0,0.0,DNS,1,92,BOT
307,57.0,0.0,DNS,2,114,BOT
308,92.0,0.0,DNS,1,92,BOT
309,131.0,0.0,UDP,1,131,NOT
310,326.0,0.0,UDP,2,652,NOT
311,131.0,0.0,UDP,1,131,NOT
312,326.0,0.0,UDP,2,652,NOT
313,90.0,0.0,UDP,4,360,NOT
314,100.0,0.0,UDP,2,200,NOT
315,131.0,0.0,UDP,1,131,NOT
316,326.0,0.0,UDP,2,652,NOT
317,131.0,0.0,UDP,1,131,NOT
318,326.0,0.0,UDP,2,652,NOT
319,62.0,0.0,DNS,26,1612,BOT
320,529.0,0.0,DNS,13,6877,BOT
321,63.0,0.0,DNS,42,2646,BOT
322,530.0,0.0,DNS,21,11130,BOT
323,62.0,0.0,DNS,36,2232,BOT
324,529.0,0.0,DNS,18,9522,BOT
325,63.0,0.0,DNS,20,1260,BOT
326,530.0,0.0,DNS,10,5300,BOT
327,131.0,0.0,UDP,1,131,NOT
328,326.0,0.0,UDP,2,652,NOT
329,60.2,13.36,DNS,10,602,BOT
330,143.0,343.6,DNS,5,715,BOT
331,48.0,0.0,TCP,6,288,BOT
332,48.0,0.0,TCP,6,288,BOT
333,48.0,0.0,TCP,12,576,BOT
334,48.0,0.0,TCP,12,576,BOT
335,57.6666666667,5.88888888889,DNS,12,692,BOT
336,138.33333333299998,219.222222222,DNS,6,830,BOT
337,57.0,0.0,DNS,2,114,BOT
338,236.0,0.0,DNS,1,236,BOT
339,57.0,0.0,DNS,2,114,BOT
340,63.0,0.0,DNS,2,126,BOT
341,284.0,0.0,DNS,1,284,BOT
342,46.0,36.0,TCP,2,92,BOT
343,52.0,0.0,TCP,2,104,BOT
344,83.675,13376.969375,TCP,40,3347,BOT
345,113.20370370399999,19635.791838099998,TCP,108,12226,BOT
346,82.5238095238,12853.820861700002,TCP,42,3466,BOT
347,130.948275862,35662.393876300004,TCP,116,15190,BOT
348,106.863636364,22800.572313999997,TCP,22,2351,BOT
349,152.510638298,22536.377546400003,TCP,94,14336,BOT
350,85.94736842110001,14060.5761773,TCP,38,3266,BOT
351,115.666666667,17815.455555599998,TCP,120,13880,BOT
352,91.8055555556,14724.156635799998,TPKT,36,3305,BOT
353,142.55,46267.9141667,TCP,120,17106,BOT
354,87.68421052629999,14055.2160665,TCP,38,3332,BOT
355,118.93103448299999,17810.236623099998,TCP,116,13796,BOT
356,90.8888888889,14715.9320988,TCP,36,3272,BOT
357,141.803571429,49628.5149872,TCP,112,15882,BOT
358,85.4285714286,15152.0734694,TCP,35,2990,BOT
359,116.964285714,16965.034438799998,TCP,112,13100,BOT
360,90.23684210530001,14458.7070637,TCP,38,3429,BOT
