,var_byte,std_byte,class
0,5.55555555556,2.35702260396,NOT
1,0.0,0.0,NOT
2,285.209183673,16.8881373654,NOT
3,57575.9920988,239.94997832599998,NOT
4,0.0,0.0,NOT
5,0.0,0.0,NOT
6,169.610946746,13.023476753399999,NOT
7,48702.340496900004,220.686067745,NOT
8,1260.25,35.5,NOT
9,1225.0,35.0,NOT
10,0.0,0.0,NOT
11,0.0,0.0,NOT
12,1260.25,35.5,NOT
13,1225.0,35.0,NOT
14,137.219591837,11.7140766532,NOT
15,25446.0889996,159.518303024,NOT
16,245.98222222200002,15.683820396300002,NOT
17,81694.2222222,285.822011438,NOT
18,0.0,0.0,NOT
19,1260.25,35.5,NOT
20,1225.0,35.0,NOT
21,0.0,0.0,NOT
22,1120.22222222,33.4697209762,NOT
23,1088.88888889,32.9983164554,NOT
24,304.409722222,17.4473414084,NOT
25,61374.2222222,247.73821308400002,NOT
26,0.0,0.0,NOT
27,0.0,0.0,BOT
28,0.0,0.0,BOT
29,0.0,0.0,BOT
30,0.0,0.0,NOT
31,1260.25,35.5,NOT
32,1225.0,35.0,NOT
33,0.0,0.0,NOT
34,0.0,0.0,NOT
35,0.0,0.0,NOT
36,1260.25,35.5,NOT
37,1225.0,35.0,NOT
38,145.380868451,12.057398909000002,NOT
39,6515.57679303,80.719122846,NOT
40,0.0,0.0,NOT
41,0.0,0.0,NOT
42,174.954639668,13.2270419848,NOT
43,4474.14380008,66.8890409565,NOT
44,105.35111111100001,10.2640689354,NOT
45,15331.599545500001,123.82083647600001,NOT
46,0.0,0.0,NOT
47,0.0,0.0,NOT
48,1260.25,35.5,NOT
49,1225.0,35.0,NOT
50,138.971533517,11.7886188129,NOT
51,24988.3196159,158.076942075,NOT
52,0.0,0.0,NOT
53,0.0,0.0,NOT
54,0.0,0.0,BOT
55,0.0,0.0,BOT
56,0.0,0.0,BOT
57,0.0,0.0,BOT
58,0.0,0.0,NOT
59,0.0,0.0,NOT
60,0.0,0.0,NOT
61,0.0,0.0,NOT
62,0.0,0.0,NOT
63,0.0,0.0,NOT
64,0.0,0.0,NOT
65,0.0,0.0,NOT
66,0.0,0.0,NOT
67,0.0,0.0,BOT
68,324.0,18.0,NOT
69,11990.25,109.5,NOT
70,0.0,0.0,NOT
71,8643.0,92.967736339,NOT
72,324.0,18.0,NOT
73,0.0,0.0,NOT
74,0.0,0.0,NOT
75,0.0,0.0,NOT
76,0.0,0.0,NOT
77,0.0,0.0,NOT
78,0.0,0.0,NOT
79,0.0,0.0,NOT
80,0.0,0.0,NOT
81,0.0,0.0,NOT
82,0.0,0.0,NOT
83,0.0,0.0,NOT
84,0.0,0.0,NOT
85,0.0,0.0,NOT
86,0.0,0.0,NOT
87,0.0,0.0,NOT
88,9362.88888889,96.76202193469999,NOT
89,10776.888888899999,103.811795519,NOT
90,324.0,18.0,NOT
91,11990.25,109.5,NOT
92,0.0,0.0,NOT
93,0.0,0.0,NOT
94,0.0,0.0,BOT
95,0.0,0.0,BOT
96,0.0,0.0,NOT
97,0.0,0.0,NOT
98,0.0,0.0,NOT
99,0.0,0.0,NOT
100,0.0,0.0,NOT
101,0.0,0.0,NOT
102,0.0,0.0,NOT
103,0.0,0.0,NOT
104,0.0,0.0,NOT
105,240.25,15.5,NOT
106,12376.888888899999,111.25146690700001,NOT
107,1014.20408163,31.8465709556,NOT
108,464483.265306,681.53009127,NOT
109,1014.20408163,31.8465709556,NOT
110,464483.265306,681.53009127,NOT
111,1014.20408163,31.8465709556,NOT
112,464483.265306,681.53009127,NOT
113,0.0,0.0,NOT
114,0.0,0.0,NOT
115,0.0,0.0,NOT
116,64.0,8.0,NOT
117,0.0,0.0,NOT
118,0.0,0.0,NOT
119,0.0,0.0,NOT
120,0.0,0.0,NOT
121,0.0,0.0,NOT
122,0.0,0.0,NOT
123,1.0,1.0,BOT
124,8930.25,94.5,BOT
125,0.0,0.0,BOT
126,0.0,0.0,BOT
127,0.0,0.0,BOT
128,0.0,0.0,BOT
129,0.0,0.0,NOT
130,0.0,0.0,NOT
131,0.0,0.0,NOT
132,0.0,0.0,NOT
133,0.0,0.0,NOT
134,0.0,0.0,NOT
135,0.0,0.0,NOT
136,0.0,0.0,NOT
137,0.0,0.0,NOT
138,0.0,0.0,NOT
139,0.0,0.0,NOT
140,0.0,0.0,NOT
141,0.0,0.0,NOT
142,0.0,0.0,NOT
143,0.0,0.0,NOT
144,0.0,0.0,NOT
145,0.0,0.0,NOT
146,0.0,0.0,NOT
147,0.0,0.0,NOT
148,0.0,0.0,NOT
149,0.0,0.0,NOT
150,0.0,0.0,NOT
151,0.0,0.0,NOT
152,0.0,0.0,NOT
153,0.0,0.0,NOT
154,0.0,0.0,NOT
155,0.0,0.0,BOT
156,0.0,0.0,BOT
157,0.0,0.0,NOT
158,0.0,0.0,NOT
159,0.0,0.0,NOT
160,0.0,0.0,NOT
161,0.0,0.0,NOT
162,0.0,0.0,NOT
163,0.0,0.0,NOT
164,0.0,0.0,NOT
165,240.25,15.5,NOT
166,0.0,0.0,NOT
167,0.0,0.0,NOT
168,0.0,0.0,NOT
169,0.0,0.0,NOT
170,324.0,18.0,NOT
171,576.0,24.0,NOT
172,35212.0,187.648607775,NOT
173,576.0,24.0,NOT
174,48400.0,220.0,NOT
175,576.0,24.0,NOT
176,48400.0,220.0,NOT
177,576.0,24.0,NOT
178,33900.0,184.119526395,NOT
179,0.0,0.0,NOT
180,0.0,0.0,NOT
181,0.0,0.0,NOT
182,0.0,0.0,NOT
183,576.0,24.0,NOT
184,42128.0,205.251065771,NOT
185,0.0,0.0,NOT
186,0.0,0.0,NOT
187,576.0,24.0,NOT
188,9132.0,95.5614985232,NOT
189,576.0,24.0,NOT
190,9132.0,95.5614985232,NOT
191,0.0,0.0,NOT
192,0.0,0.0,NOT
193,576.0,24.0,NOT
194,9216.0,96.0,NOT
195,0.0,0.0,NOT
196,0.0,0.0,NOT
197,8635.25,92.92604586440001,NOT
198,11380.0,106.677082825,NOT
199,0.0,0.0,NOT
200,0.0,0.0,NOT
201,0.0,0.0,NOT
202,0.0,0.0,NOT
203,0.0,0.0,NOT
204,0.0,0.0,NOT
205,0.0,0.0,NOT
206,0.0,0.0,NOT
207,0.0,0.0,BOT
208,0.0,0.0,BOT
209,0.0,0.0,NOT
210,0.0,0.0,NOT
211,0.0,0.0,NOT
212,0.0,0.0,NOT
213,0.0,0.0,NOT
214,0.0,0.0,NOT
215,0.0,0.0,BOT
216,0.0,0.0,NOT
217,0.0,0.0,NOT
218,0.0,0.0,BOT
219,0.0,0.0,BOT
220,0.0,0.0,BOT
221,0.0,0.0,BOT
222,0.0,0.0,BOT
223,0.0,0.0,BOT
224,0.0,0.0,BOT
225,0.0,0.0,BOT
226,0.0,0.0,NOT
227,0.0,0.0,BOT
228,0.0,0.0,NOT
229,0.0,0.0,NOT
230,0.0,0.0,NOT
231,0.0,0.0,NOT
232,0.0,0.0,NOT
233,0.0,0.0,NOT
234,0.0,0.0,NOT
235,0.0,0.0,NOT
236,0.0,0.0,NOT
237,0.0,0.0,NOT
238,0.0,0.0,NOT
239,0.0,0.0,NOT
240,0.0,0.0,NOT
241,0.0,0.0,NOT
242,0.0,0.0,NOT
243,0.0,0.0,BOT
244,0.0,0.0,BOT
245,0.0,0.0,BOT
246,0.0,0.0,BOT
247,0.0,0.0,BOT
248,0.0,0.0,BOT
249,0.0,0.0,NOT
250,0.0,0.0,NOT
251,0.0,0.0,NOT
252,0.0,0.0,NOT
253,0.0,0.0,NOT
254,0.0,0.0,NOT
255,0.0,0.0,NOT
256,0.0,0.0,NOT
257,0.0,0.0,NOT
258,0.0,0.0,NOT
259,0.0,0.0,NOT
260,0.0,0.0,NOT
261,0.0,0.0,NOT
262,0.0,0.0,NOT
263,0.0,0.0,NOT
264,0.0,0.0,NOT
265,0.0,0.0,NOT
266,0.0,0.0,NOT
267,0.0,0.0,NOT
268,2.16,1.46969384567,BOT
269,2.16,1.46969384567,BOT
270,0.0,0.0,BOT
271,0.0,0.0,BOT
272,0.0,0.0,BOT
273,0.0,0.0,BOT
274,0.0,0.0,BOT
275,1760.22222222,41.9550023504,BOT
276,0.0,0.0,BOT
277,0.0,0.0,BOT
278,0.0,0.0,NOT
279,0.0,0.0,NOT
280,0.0,0.0,BOT
281,0.0,0.0,BOT
282,0.0,0.0,BOT
283,304.222222222,17.4419672693,BOT
284,0.0,0.0,NOT
285,0.0,0.0,NOT
286,0.0,0.0,NOT
287,0.0,0.0,NOT
288,0.0,0.0,NOT
289,0.0,0.0,NOT
290,0.0,0.0,NOT
291,0.0,0.0,NOT
292,0.0,0.0,NOT
293,288.0,16.9705627485,NOT
294,0.0,0.0,NOT
295,0.0,0.0,NOT
296,0.0,0.0,NOT
297,0.0,0.0,NOT
298,0.0,0.0,NOT
299,0.0,0.0,NOT
300,0.0,0.0,NOT
301,0.0,0.0,BOT
302,0.0,0.0,BOT
303,0.0,0.0,NOT
304,0.0,0.0,NOT
305,0.0,0.0,BOT
306,0.0,0.0,BOT
307,0.0,0.0,BOT
308,0.0,0.0,BOT
309,0.0,0.0,NOT
310,0.0,0.0,NOT
311,0.0,0.0,NOT
312,0.0,0.0,NOT
313,0.0,0.0,NOT
314,0.0,0.0,NOT
315,0.0,0.0,NOT
316,0.0,0.0,NOT
317,0.0,0.0,NOT
318,0.0,0.0,NOT
319,0.0,0.0,BOT
320,0.0,0.0,BOT
321,0.0,0.0,BOT
322,0.0,0.0,BOT
323,0.0,0.0,BOT
324,0.0,0.0,BOT
325,0.0,0.0,BOT
326,0.0,0.0,BOT
327,0.0,0.0,NOT
328,0.0,0.0,NOT
329,13.36,3.6551333765,BOT
330,343.6,18.5364505772,BOT
331,0.0,0.0,BOT
332,0.0,0.0,BOT
333,0.0,0.0,BOT
334,0.0,0.0,BOT
335,5.88888888889,2.42670329643,BOT
336,219.222222222,14.8061548763,BOT
337,0.0,0.0,BOT
338,0.0,0.0,BOT
339,0.0,0.0,BOT
340,0.0,0.0,BOT
341,0.0,0.0,BOT
342,36.0,6.0,BOT
343,0.0,0.0,BOT
344,13376.969375,115.658849099,BOT
345,19635.791838099998,140.127769689,BOT
346,12853.820861700002,113.374692333,BOT
347,35662.393876300004,188.844893699,BOT
348,22800.572313999997,150.998583815,BOT
349,22536.377546400003,150.121209516,BOT
350,14060.5761773,118.57730043,BOT
351,17815.455555599998,133.474550217,BOT
352,14724.156635799998,121.343135924,BOT
353,46267.9141667,215.099777235,BOT
354,14055.2160665,118.55469651799999,BOT
355,17810.236623099998,133.454998494,BOT
356,14715.9320988,121.309241605,BOT
357,49628.5149872,222.774583351,BOT
358,15152.0734694,123.09375885600001,BOT
359,16965.034438799998,130.249892279,BOT
360,14458.7070637,120.244363958,BOT
361,19688.7030556,140.316439007,BOT
362,13169.458655600001,114.758261818,BOT
363,16707.096475600003,129.255934005,BOT
364,13372.799375,115.64082053899999,BOT
365,30264.171360900003,173.966006337,BOT
366,13531.749375,116.326047706,BOT
367,15652.563865799999,125.11020688100001,BOT
368,12583.913466700002,112.178043604,BOT
369,16487.658972,128.404279415,BOT
370,13853.614727200002,117.701379462,BOT
371,16280.989368999999,127.59698025,BOT
372,29099.5475,170.585894786,BOT
373,28232.8541667,168.02634962,BOT
374,20160.3456,141.987131811,BOT
375,44551.2912558,211.07176802200001,BOT
376,16.0,4.0,BOT
377,0.0,0.0,BOT
378,16.0,4.0,BOT
379,0.0,0.0,BOT
380,16962.734375,130.241062553,BOT
381,9063.69,95.2034138043,BOT
382,16.0,4.0,BOT
383,0.0,0.0,BOT
384,16.0,4.0,BOT
385,0.0,0.0,BOT
386,16.0,4.0,BOT
387,0.0,0.0,BOT
388,16.0,4.0,BOT
389,0.0,0.0,BOT
390,22138.3553719,148.789634625,BOT
391,113228.185604,336.49396072400003,BOT
392,14322.1319444,119.67510996200001,BOT
393,81992.1065197,286.342638319,BOT
394,35730.25,189.024469315,BOT
395,22480.650519,149.935487857,BOT
396,13789.1966759,117.427410241,BOT
397,18914.678969599998,137.530647383,BOT
398,13469.7751479,116.059360449,BOT
399,17719.8916,133.11608317600002,BOT
400,13522.352399700001,116.285650016,BOT
401,18336.728732599997,135.41317784,BOT
402,13177.29,114.79237779600001,BOT
403,18282.968316,135.214527015,BOT
404,13460.2301118,116.018231808,BOT
405,18013.5085381,134.214412557,BOT
406,13521.9579224,116.283953848,BOT
407,17928.751353599997,133.89828734399998,BOT
408,12691.9115646,112.65838435100001,BOT
409,17987.442043900002,134.117269745,BOT
410,12815.461035100001,113.205393136,BOT
411,17022.5721154,130.470579501,BOT
412,13398.7863248,115.753126631,BOT
413,18277.0169271,135.192518014,BOT
414,13078.19,114.35991430600001,BOT
415,18556.0176,136.22047423200002,BOT
416,13166.61,114.74584959799999,BOT
417,17957.8367347,134.006853312,BOT
418,13733.0858726,117.188249721,BOT
419,18336.728732599997,135.41317784,BOT
420,13737.4598338,117.20691035,BOT
421,18178.7773933,134.828696476,BOT
422,13707.3524931,117.078403188,BOT
423,17588.0576,132.61997436299998,BOT
424,12293.5219037,110.876155704,BOT
425,17120.859467500002,130.846702165,BOT
426,13116.309375,114.526457096,BOT
427,17597.0176,132.653750795,BOT
428,16.0,4.0,BOT
429,0.0,0.0,BOT
430,13198.1875,114.883364766,BOT
431,16990.3032544,130.346857478,BOT
432,12815.461035100001,113.205393136,BOT
433,18237.8235947,135.047486443,BOT
434,13398.7863248,115.753126631,BOT
435,18298.9149306,135.273481993,BOT
436,13361.2163051,115.590727591,BOT
437,18047.028738,134.33923007799999,BOT
438,14399.166666699999,119.99652772799999,BOT
439,18556.0176,136.22047423200002,BOT
440,13120.549375,114.544966607,BOT
441,17642.5604,132.825300301,BOT
442,11888.5155556,109.034469575,BOT
443,15023.450158000001,122.57018462100001,BOT
444,12830.1451517,113.270230651,BOT
445,18006.6549556,134.188877913,BOT
446,13430.6469428,115.89066805700001,BOT
447,17976.045814200002,134.07477695,BOT
448,13707.3524931,117.078403188,BOT
449,18336.728732599997,135.41317784,BOT
450,13725.9757618,117.157909514,BOT
451,18373.384982599997,135.548459905,BOT
452,13739.562326899999,117.21587915799999,BOT
453,18282.968316,135.214527015,BOT
454,13462.707429299999,116.028907731,BOT
455,18019.5085381,134.23676299,BOT
456,13407.7238659,115.791726241,BOT
457,17948.9645981,133.973745928,BOT
