,percent_push,src_port,dst_port,std_byte,class
0,0.0,68,67,2.35702260396,NOT
1,0.0,123,123,0.0,NOT
2,0.0,7600,7600,16.8881373654,NOT
3,0.0,7600,7600,239.94997832599998,NOT
4,0.0,13827,31037,0.0,NOT
5,0.0,31037,13827,0.0,NOT
6,0.0,7600,7600,13.023476753399999,NOT
7,0.0,7600,7600,220.686067745,NOT
8,0.0,16224,7600,35.5,NOT
9,0.0,7600,16224,35.0,NOT
10,0.0,56410,7600,0.0,NOT
11,0.0,7600,56410,0.0,NOT
12,0.0,16224,7600,35.5,NOT
13,0.0,7600,16224,35.0,NOT
14,0.0,7600,7600,11.7140766532,NOT
15,0.0,7600,7600,159.518303024,NOT
16,0.0,7600,7600,15.683820396300002,NOT
17,0.0,7600,7600,285.822011438,NOT
18,0.0,7600,7600,0.0,NOT
19,0.0,15362,7600,35.5,NOT
20,0.0,7600,15362,35.0,NOT
21,0.0,7600,22821,0.0,NOT
22,0.0,20050,7600,33.4697209762,NOT
23,0.0,7600,20050,32.9983164554,NOT
24,0.0,7600,7600,17.4473414084,NOT
25,0.0,7600,7600,247.73821308400002,NOT
26,0.0,50868,29676,0.0,NOT
27,0.0,1085,3128,0.0,BOT
28,0.0,1564,6667,0.0,BOT
29,0.0,4678,6667,0.0,BOT
30,0.0,15610,8000,0.0,NOT
31,0.0,7600,7600,35.5,NOT
32,0.0,7600,7600,35.0,NOT
33,0.0,55000,31037,0.0,NOT
34,0.0,31037,55000,0.0,NOT
35,0.0,29676,27482,0.0,NOT
36,0.0,24452,7600,35.5,NOT
37,0.0,7600,24452,35.0,NOT
38,0.0,40302,7600,12.057398909000002,NOT
39,0.0,7600,40302,80.719122846,NOT
40,0.0,56504,31037,0.0,NOT
41,0.0,31037,56504,0.0,NOT
42,0.0,7600,7600,13.2270419848,NOT
43,0.0,7600,7600,66.8890409565,NOT
44,0.0,7600,7600,10.2640689354,NOT
45,0.0,7600,7600,123.82083647600001,NOT
46,0.0,57106,29676,0.0,NOT
47,0.0,29676,57106,0.0,NOT
48,0.0,7600,7600,35.5,NOT
49,0.0,7600,7600,35.0,NOT
50,0.0,7600,7600,11.7886188129,NOT
51,0.0,7600,7600,158.076942075,NOT
52,0.0,17096,80,0.0,NOT
53,0.0,17364,80,0.0,NOT
54,0.0,1390,6667,0.0,BOT
55,0.0,1634,6667,0.0,BOT
56,0.0,4902,6667,0.0,BOT
57,0.0,4041,6667,0.0,BOT
58,0.0,10470,32234,0.0,NOT
59,0.0,32234,10470,0.0,NOT
60,0.0,46908,31037,0.0,NOT
61,0.0,31037,46908,0.0,NOT
62,0.0,16763,32234,0.0,NOT
63,0.0,32234,16763,0.0,NOT
64,0.0,10155,31037,0.0,NOT
65,0.0,28082,29676,0.0,NOT
66,0.0,29676,28082,0.0,NOT
67,0.0,2129,25,0.0,BOT
68,0.0,29676,47729,18.0,NOT
69,0.0,47729,29676,109.5,NOT
70,0.0,48733,32234,0.0,NOT
71,0.0,32234,48733,92.967736339,NOT
72,0.0,32234,32589,18.0,NOT
73,0.0,32589,32234,0.0,NOT
74,0.0,58875,31037,0.0,NOT
75,0.0,31037,58875,0.0,NOT
76,0.0,44537,32234,0.0,NOT
77,0.0,32234,44537,0.0,NOT
78,0.0,33746,31037,0.0,NOT
79,0.0,31037,33746,0.0,NOT
80,0.0,25182,31037,0.0,NOT
81,0.0,31037,25182,0.0,NOT
82,0.0,29676,7888,0.0,NOT
83,0.0,7888,29676,0.0,NOT
84,0.0,29676,19366,0.0,NOT
85,0.0,19366,29676,0.0,NOT
86,0.0,29676,32752,0.0,NOT
87,0.0,32752,29676,0.0,NOT
88,0.0,24625,32234,96.76202193469999,NOT
89,0.0,32234,24625,103.811795519,NOT
90,0.0,29676,36462,18.0,NOT
91,0.0,36462,29676,109.5,NOT
92,0.0,29676,20030,0.0,NOT
93,0.0,20030,29676,0.0,NOT
94,0.0,2077,53,0.0,BOT
95,0.0,53,2077,0.0,BOT
96,0.0,16366,32234,0.0,NOT
97,0.0,32234,16366,0.0,NOT
98,0.0,29963,31037,0.0,NOT
99,0.0,27062,32234,0.0,NOT
100,0.0,32234,27062,0.0,NOT
101,0.0,59487,32234,0.0,NOT
102,0.0,32234,59487,0.0,NOT
103,0.0,35691,31037,0.0,NOT
104,0.0,31037,35691,0.0,NOT
105,0.0,35691,32234,15.5,NOT
106,0.0,32234,35691,111.25146690700001,NOT
107,14.2857142857,3008,80,31.8465709556,NOT
108,14.2857142857,80,3008,681.53009127,NOT
109,14.2857142857,3274,80,31.8465709556,NOT
110,14.2857142857,80,3274,681.53009127,NOT
111,14.2857142857,3280,80,31.8465709556,NOT
112,14.2857142857,80,3280,681.53009127,NOT
113,0.0,4044,32234,0.0,NOT
114,0.0,32234,4044,0.0,NOT
115,0.0,25562,31037,0.0,NOT
116,0.0,31037,25562,8.0,NOT
117,0.0,24663,32234,0.0,NOT
118,0.0,32234,24663,0.0,NOT
119,0.0,41294,29676,0.0,NOT
120,0.0,29676,41294,0.0,NOT
121,0.0,38907,31037,0.0,NOT
122,0.0,31037,38907,0.0,NOT
123,0.0,2079,53,1.0,BOT
124,0.0,53,2079,94.5,BOT
125,0.0,2079,53,0.0,BOT
126,0.0,53,2079,0.0,BOT
127,0.0,2077,53,0.0,BOT
128,0.0,53,2077,0.0,BOT
129,0.0,45718,29676,0.0,NOT
130,0.0,32234,37981,0.0,NOT
131,0.0,20197,31037,0.0,NOT
132,0.0,31037,20197,0.0,NOT
133,0.0,44760,29676,0.0,NOT
134,0.0,29676,44760,0.0,NOT
135,0.0,11356,31037,0.0,NOT
136,0.0,31037,11356,0.0,NOT
137,0.0,46616,29676,0.0,NOT
138,0.0,29676,46616,0.0,NOT
139,0.0,51941,32234,0.0,NOT
140,0.0,32234,51941,0.0,NOT
141,0.0,64212,31037,0.0,NOT
142,0.0,31037,64212,0.0,NOT
143,0.0,61870,29676,0.0,NOT
144,0.0,29676,61870,0.0,NOT
145,0.0,10260,32234,0.0,NOT
146,0.0,32234,10260,0.0,NOT
147,0.0,28074,31037,0.0,NOT
148,0.0,31037,28074,0.0,NOT
149,0.0,32234,15948,0.0,NOT
150,0.0,15948,32234,0.0,NOT
151,0.0,44072,31037,0.0,NOT
152,0.0,31037,44072,0.0,NOT
153,0.0,58545,32234,0.0,NOT
154,0.0,32234,58545,0.0,NOT
155,0.0,2077,53,0.0,BOT
156,0.0,53,2077,0.0,BOT
157,0.0,22933,32234,0.0,NOT
158,0.0,28672,32234,0.0,NOT
159,0.0,58267,31037,0.0,NOT
160,0.0,31037,58267,0.0,NOT
161,0.0,40989,32234,0.0,NOT
162,0.0,32234,40989,0.0,NOT
