,avg_byte,protocol,pack_exc,byte_exc,src_port,dst_port,class
0,337.666666667,1,3,1013,68,67,1
1,76.0,2,1,76,123,123,1
2,86.92857142860001,3,14,1217,7600,7600,1
3,1019.91111111,3,90,91792,7600,7600,1
4,131.0,3,1,131,13827,31037,1
5,326.0,3,2,652,31037,13827,1
6,84.6538461538,3,26,2201,7600,7600,1
7,1013.82716049,3,162,164240,7600,7600,1
8,110.5,3,2,221,16224,7600,1
9,111.0,3,4,444,7600,16224,1
10,75.0,3,1,75,56410,7600,1
11,76.0,3,2,152,7600,56410,1
12,110.5,3,2,221,16224,7600,1
13,111.0,3,4,444,7600,16224,1
14,83.2571428571,3,35,2914,7600,7600,1
15,1056.79245283,3,212,224040,7600,7600,1
16,88.1333333333,3,30,2644,7600,7600,1
17,991.333333333,3,21,20818,7600,7600,1
18,75.0,3,2,150,7600,7600,1
19,110.5,3,2,221,15362,7600,1
20,111.0,3,4,444,7600,15362,1
21,75.0,3,2,150,7600,22821,1
22,122.333333333,3,3,367,20050,7600,1
23,99.3333333333,3,6,596,7600,20050,1
24,88.9166666667,3,12,1067,7600,7600,1
25,1015.33333333,3,84,85288,7600,7600,1
26,129.0,3,1,129,50868,29676,1
27,48.0,4,6,288,1085,3128,2
28,48.0,4,4,192,1564,6667,2
29,48.0,4,6,288,4678,6667,2
30,74.0,3,1,74,15610,8000,1
31,110.5,3,2,221,7600,7600,1
32,111.0,3,4,444,7600,7600,1
33,131.0,3,1,131,55000,31037,1
34,326.0,3,2,652,31037,55000,1
35,126.0,3,4,504,29676,27482,1
36,110.5,3,2,221,24452,7600,1
37,111.0,3,4,444,7600,24452,1
38,91.31645569620001,3,79,7214,40302,7600,1
39,1077.1820331,3,846,911296,7600,40302,1
40,131.0,3,1,131,56504,31037,1
41,326.0,3,2,652,31037,56504,1
42,92.5982142857,3,224,20742,7600,7600,1
43,1078.58164852,3,643,693528,7600,7600,1
44,86.4,3,90,7776,7600,7600,1
45,1067.79775281,3,178,190068,7600,7600,1
46,126.0,3,1,126,57106,29676,1
47,330.0,3,2,660,29676,57106,1
48,110.5,3,2,221,7600,7600,1
49,111.0,3,4,444,7600,7600,1
50,84.24242424239999,3,33,2780,7600,7600,1
51,1057.2962963,3,216,228376,7600,7600,1
52,48.0,4,3,144,17096,80,1
53,48.0,4,3,144,17364,80,1
54,48.0,4,4,192,1390,6667,2
55,48.0,4,2,96,1634,6667,2
56,48.0,4,6,288,4902,6667,2
57,48.0,4,6,288,4041,6667,2
58,131.0,3,1,131,10470,32234,1
59,326.0,3,2,652,32234,10470,1
60,131.0,3,1,131,46908,31037,1
61,326.0,3,2,652,31037,46908,1
62,131.0,3,1,131,16763,32234,1
63,326.0,3,2,652,32234,16763,1
64,131.0,3,1,131,10155,31037,1
65,126.0,3,2,252,28082,29676,1
66,330.0,3,4,1320,29676,28082,1
67,48.0,4,6,288,2129,25,2
68,108.0,3,4,432,29676,47729,1
69,199.5,3,2,399,47729,29676,1
70,131.0,3,1,131,48733,32234,1
71,167.0,3,8,1336,32234,48733,1
72,108.0,3,8,864,32234,32589,1
73,319.0,3,2,638,32589,32234,1
