,protocol,pack_exc,pack_push,percent_push,src_port,dst_port,std_byte,class
0,1,3,1,0.0,68,67,2.35702260396,1
1,2,1,1,0.0,123,123,0.0,1
2,3,14,1,0.0,7600,7600,16.8881373654,1
3,3,90,1,0.0,7600,7600,239.94997832599998,1
4,3,1,1,0.0,13827,31037,0.0,1
5,3,2,1,0.0,31037,13827,0.0,1
6,3,26,1,0.0,7600,7600,13.023476753399999,1
7,3,162,1,0.0,7600,7600,220.686067745,1
8,3,2,1,0.0,16224,7600,35.5,1
9,3,4,1,0.0,7600,16224,35.0,1
10,3,1,1,0.0,56410,7600,0.0,1
11,3,2,1,0.0,7600,56410,0.0,1
12,3,2,1,0.0,16224,7600,35.5,1
13,3,4,1,0.0,7600,16224,35.0,1
14,3,35,1,0.0,7600,7600,11.7140766532,1
15,3,212,1,0.0,7600,7600,159.518303024,1
16,3,30,1,0.0,7600,7600,15.683820396300002,1
17,3,21,1,0.0,7600,7600,285.822011438,1
18,3,2,1,0.0,7600,7600,0.0,1
19,3,2,1,0.0,15362,7600,35.5,1
20,3,4,1,0.0,7600,15362,35.0,1
21,3,2,1,0.0,7600,22821,0.0,1
22,3,3,1,0.0,20050,7600,33.4697209762,1
23,3,6,1,0.0,7600,20050,32.9983164554,1
24,3,12,1,0.0,7600,7600,17.4473414084,1
25,3,84,1,0.0,7600,7600,247.73821308400002,1
26,3,1,1,0.0,50868,29676,0.0,1
27,4,6,1,0.0,1085,3128,0.0,2
28,4,4,1,0.0,1564,6667,0.0,2
29,4,6,1,0.0,4678,6667,0.0,2
30,3,1,1,0.0,15610,8000,0.0,1
31,3,2,1,0.0,7600,7600,35.5,1
32,3,4,1,0.0,7600,7600,35.0,1
33,3,1,1,0.0,55000,31037,0.0,1
34,3,2,1,0.0,31037,55000,0.0,1
35,3,4,1,0.0,29676,27482,0.0,1
36,3,2,1,0.0,24452,7600,35.5,1
37,3,4,1,0.0,7600,24452,35.0,1
38,3,79,1,0.0,40302,7600,12.057398909000002,1
39,3,846,1,0.0,7600,40302,80.719122846,1
40,3,1,1,0.0,56504,31037,0.0,1
41,3,2,1,0.0,31037,56504,0.0,1
42,3,224,1,0.0,7600,7600,13.2270419848,1
43,3,643,1,0.0,7600,7600,66.8890409565,1
44,3,90,1,0.0,7600,7600,10.2640689354,1
